t f1 f2 f3 f4 Fsum x y Area del_D del_Fsum abs_delFsum (del_Fsum)(del_D) (abs_del_Fsum)(del_D) sum_abs_del_f (sum_abs_del_f)(del_D)
0.02 7 9 30 24 70 -0.01600000 -0.07600000N.A. N.A. N.A. N.A. N.A. N.A. N.A. N.A. N.A.
0.04 7 10 30 23 70 -0.02000000 -0.07200000 0.00001725 0.00565685 0 0 0.00000000 0.00000000 2 0.01131371
0.06 6 7 29 22 64 -0.01750000 -0.08312500 0.00004173 0.01140244 -6 6 -0.06841464 0.06841464 6 0.06841464
0.08 7 7 28 23 65 -0.01076923 -0.07969231 0.00000778 0.00755557 1 1 0.00755557 0.00755557 3 0.02266671
0.10 7 8 30 24 69 -0.01420290 -0.07913043 0.00001103 0.00347934 4 4 0.01391734 0.01391734 4 0.01391734
0.12 5 8 30 22 65 -0.02369231 -0.08400000 0.00001018 0.01066591 -4 4 -0.04266362 0.04266362 4 0.04266362
0.14 6 8 31 22 67 -0.02298507 -0.08149254 0.00001620 0.00260529 2 2 0.00521058 0.00521058 2 0.00521058
0.16 6 7 28 24 65 -0.01076923 -0.08400000 0.00001048 0.01247053 -2 2 -0.02494107 0.02494107 6 0.07482320
0.18 7 7 30 23 67 -0.01462687 -0.08149254 0.00000119 0.00460095 2 2 0.00920189 0.00920189 4 0.01840379
0.20 7 7 30 24 68 -0.01235294 -0.08235294 0.00000287 0.00243126 1 1 0.00243126 0.00243126 1 0.00243126
0.22 7 8 30 24 69 -0.01420290 -0.07913043 0.00002020 0.00371576 1 1 0.00371576 0.00371576 1 0.00371576
0.24 6 7 32 22 67 -0.02298507 -0.08567164 0.00002335 0.01095053 -2 2 -0.02190105 0.02190105 6 0.06570315
0.26 5 7 30 23 65 -0.01938462 -0.08830769 0.00000699 0.00446229 -2 2 -0.00892459 0.00892459 4 0.01784918
0.28 6 5 30 26 67 -0.00626866 -0.09402985 0.00008617 0.01430984 2 2 0.02861968 0.02861968 6 0.08585903
0.30 7 8 29 24 68 -0.01235294 -0.07823529 0.00005709 0.01692591 1 1 0.01692591 0.01692591 7 0.11848139
0.32 10 8 31 25 74 -0.00756757 -0.07189189 0.00000423 0.00794598 6 6 0.04767586 0.04767586 6 0.04767586
0.34 8 8 30 24 70 -0.01200000 -0.07600000 0.00000449 0.00604343 -4 4 -0.02417371 0.02417371 4 0.02417371
0.36 6 7 29 22 64 -0.01750000 -0.08312500 0.00007379 0.00900087 -6 6 -0.05400521 0.05400521 6 0.05400521
0.38 6 4 27 23 60 -0.00466667 -0.09333333 0.00001330 0.01639831 -4 4 -0.06559323 0.06559323 6 0.09838985
0.40 6 7 29 24 66 -0.01272727 -0.08484848 0.00000495 0.01170325 6 6 0.07021949 0.07021949 6 0.07021949
0.42 6 7 30 25 68 -0.01235294 -0.08647059 0.00000553 0.00166474 2 2 0.00332947 0.00332947 2 0.00332947
0.44 5 6 28 21 60 -0.01866667 -0.08866667 0.00000043 0.00668475 -8 8 -0.05347800 0.05347800 8 0.05347800
0.46 6 7 29 25 67 -0.01044776 -0.08567164 0.00001752 0.00874760 7 7 0.06123323 0.06123323 7 0.06123323
0.48 5 7 31 26 69 -0.01420290 -0.09130435 0.00001752 0.00676967 2 2 0.01353934 0.01353934 4 0.02707868
0.50 6 7 29 25 67 -0.01044776 -0.08567164 0.00003048 0.00676967 -2 2 -0.01353934 0.01353934 4 0.02707868
0.52 8 8 30 23 69 -0.01420290 -0.07507246 0.00003978 0.01124472 2 2 0.02248943 0.02248943 6 0.06746829
0.54 6 9 30 23 68 -0.02058824 -0.07823529 0.00003875 0.00712573 -1 1 -0.00712573 0.00712573 3 0.02137719
0.56 8 6 30 25 69 -0.00608696 -0.08318841 0.00001846 0.01532385 1 1 0.01532385 0.01532385 7 0.10726696
0.58 7 6 29 25 67 -0.00626866 -0.08567164 0.00000574 0.00248987 -2 2 -0.00497975 0.00497975 2 0.00497975
0.60 7 6 29 23 65 -0.01076923 -0.08400000 0.00000821 0.00480100 -2 2 -0.00960199 0.00960199 2 0.00960199
0.62 7 8 30 23 68 -0.01647059 -0.07823529 0.00001174 0.00810785 3 3 0.02432356 0.02432356 3 0.02432356
0.64 7 7 31 23 68 -0.01647059 -0.08235294 0.00000771 0.00411765 0 0 0.00000000 0.00000000 2 0.00823529
0.66 6 7 29 24 66 -0.01272727 -0.08484848 0.00001365 0.00449891 -2 2 -0.00899781 0.00899781 4 0.01799562
0.68 7 6 27 24 64 -0.00437500 -0.08312500 0.00000366 0.00852824 -2 2 -0.01705648 0.01705648 4 0.03411296
0.70 6 7 28 25 66 -0.00848485 -0.08484848 0.00001263 0.00445660 2 2 0.00891319 0.00891319 4 0.01782639
0.72 7 8 32 25 72 -0.01555556 -0.08166667 0.00001994 0.00775364 6 6 0.04652181 0.04652181 6 0.04652181
0.74 8 8 31 25 72 -0.01166667 -0.07777778 0.00002701 0.00549972 0 0 0.00000000 0.00000000 2 0.01099944
0.76 6 6 27 24 63 -0.00666667 -0.08666667 0.00000426 0.01019864 -9 9 -0.09178780 0.09178780 9 0.09178780
0.78 7 6 29 25 67 -0.00626866 -0.08567164 0.00000127 0.00107167 4 4 0.00428670 0.00428670 4 0.00428670
0.80 7 6 29 24 66 -0.00848485 -0.08484848 0.00000175 0.00236413 -1 1 -0.00236413 0.00236413 1 0.00236413
0.82 6 7 29 24 66 -0.01272727 -0.08484848 0.00000900 0.00424242 0 0 0.00000000 0.00000000 2 0.00848485
0.84 6 8 29 23 66 -0.01696970 -0.08060606 0.00000900 0.00599969 0 0 0.00000000 0.00000000 2 0.01199939
0.86 7 6 30 23 66 -0.01272727 -0.08484848 0.00000900 0.00599969 0 0 0.00000000 0.00000000 4 0.02399878
0.88 7 6 30 26 69 -0.00608696 -0.08724638 0.00000403 0.00706001 3 3 0.02118002 0.02118002 3 0.02118002
0.90 6 6 28 24 64 -0.00875000 -0.08750000 0.00001065 0.00267509 -5 5 -0.01337547 0.01337547 5 0.01337547
0.92 7 7 28 23 65 -0.01076923 -0.07969231 0.00000902 0.00806457 1 1 0.00806457 0.00806457 3 0.02419372
0.94 8 8 31 24 71 -0.01380282 -0.07690141 0.00001148 0.00412211 6 6 0.02473264 0.02473264 6 0.02473264
