t f1 f2 f3 f4 Fsum x y Area del_D del_Fsum abs_delFsum (del_Fsum)(del_D) (abs_del_Fsum)(del_D) sum_abs_del_f (sum_abs_del_f)(del_D)
0.02 3 24 41 4 72 -0.11277778 -0.03500000N.A. N.A. N.A. N.A. N.A. N.A. N.A. N.A. N.A.
0.04 4 25 44 4 77 -0.11090909 -0.03454545 0.00000765 0.00192318 5 5 0.00961588 0.00961588 5 0.00961588
0.06 3 26 42 2 73 -0.12082192 -0.02876712 0.00000039 0.01147402 -4 4 -0.04589610 0.04589610 6 0.06884415
0.08 3 25 41 3 72 -0.11666667 -0.03111111 0.00001898 0.00477079 -1 1 -0.00477079 0.00477079 3 0.01431236
0.10 5 26 42 4 77 -0.10727273 -0.02727273 0.00000746 0.01014787 5 5 0.05073936 0.05073936 5 0.05073936
0.12 3 25 40 4 72 -0.11277778 -0.03111111 0.00000412 0.00671109 -5 5 -0.03355547 0.03355547 5 0.03355547
0.14 4 29 47 4 84 -0.11333333 -0.03000000 0.00000024 0.00124226 12 12 0.01490712 0.01490712 12 0.01490712
0.16 4 29 45 3 81 -0.11580247 -0.02592593 0.00000093 0.00476390 -3 3 -0.01429169 0.01429169 3 0.01429169
0.18 4 27 41 2 74 -0.11729730 -0.02270270 0.00001165 0.00355298 -7 7 -0.02487087 0.02487087 7 0.02487087
0.20 4 24 40 5 73 -0.10547945 -0.03260274 0.00010662 0.01541662 -1 1 -0.01541662 0.01541662 7 0.10791635
0.22 2 20 37 3 62 -0.11741935 -0.04064516 0.00002891 0.01439590 -11 11 -0.15835486 0.15835486 11 0.15835486
0.24 4 23 37 4 68 -0.10705882 -0.02882353 0.00007674 0.01571915 6 6 0.09431488 0.09431488 6 0.09431488
0.26 3 25 36 3 67 -0.11492537 -0.02298507 0.00000645 0.00979644 -1 1 -0.00979644 0.00979644 5 0.04898218
0.28 4 26 40 2 72 -0.11666667 -0.02333333 0.00000780 0.00177578 5 5 0.00887889 0.00887889 7 0.01243045
0.30 3 26 42 4 75 -0.11386667 -0.03173333 0.00003757 0.00885438 3 3 0.02656313 0.02656313 5 0.04427189
0.32 4 27 43 6 80 -0.10500000 -0.03150000 0.00002596 0.00886974 5 5 0.04434868 0.04434868 5 0.04434868
0.34 4 27 41 4 76 -0.11052632 -0.02578947 0.00001182 0.00794671 -4 4 -0.03178686 0.03178686 4 0.03178686
0.36 5 24 39 4 72 -0.10500000 -0.02722222 0.00000716 0.00570902 -4 4 -0.02283609 0.02283609 6 0.03425413
0.38 4 24 39 3 70 -0.11200000 -0.02800000 0.00001601 0.00704308 -2 2 -0.01408615 0.01408615 2 0.01408615
0.40 3 23 39 3 68 -0.11529412 -0.03294118 0.00000678 0.00593856 -2 2 -0.01187711 0.01187711 2 0.01187711
0.42 3 22 40 3 68 -0.11529412 -0.03705882 0.00000982 0.00411765 0 0 0.00000000 0.00000000 2 0.00823529
0.44 4 26 42 4 76 -0.11052632 -0.02947368 0.00002508 0.00895914 8 8 0.07167316 0.07167316 8 0.07167316
0.46 4 27 41 3 75 -0.11386667 -0.02426667 0.00002508 0.00618635 -1 1 -0.00618635 0.00618635 3 0.01855906
0.48 4 27 41 3 75 -0.11386667 -0.02426667 0.00002508 0.00000000 0 0 0.00000000 0.00000000 0 0.00000000
0.50 4 26 42 4 76 -0.11052632 -0.02947368 0.00000504 0.00618635 1 1 0.00618635 0.00618635 3 0.01855906
0.52 4 24 40 3 71 -0.11239437 -0.02957746 0.00000202 0.00187093 -5 5 -0.00935465 0.00935465 5 0.00935465
0.54 4 25 39 4 72 -0.10888889 -0.02722222 0.00000672 0.00422321 1 1 0.00422321 0.00422321 3 0.01266964
0.56 4 25 39 5 73 -0.10547945 -0.02876712 0.00000108 0.00374312 1 1 0.00374312 0.00374312 1 0.00374312
0.58 4 28 43 1 76 -0.12157895 -0.02210526 0.00003840 0.01742338 3 3 0.05227014 0.05227014 11 0.19165717
0.60 6 29 45 5 85 -0.10376471 -0.02470588 0.00003919 0.01800307 9 9 0.16202760 0.16202760 9 0.16202760
0.62 3 26 40 3 72 -0.11666667 -0.02722222 0.00000152 0.01314506 -13 13 -0.17088576 0.17088576 13 0.17088576
0.64 4 27 41 4 76 -0.11052632 -0.02578947 0.00000363 0.00630529 4 4 0.02522116 0.02522116 4 0.02522116
0.66 2 28 43 2 75 -0.12506667 -0.02800000 0.00002894 0.01470742 -1 1 -0.01470742 0.01470742 7 0.10295195
0.68 3 27 40 2 72 -0.12055556 -0.02333333 0.00004356 0.00649060 -3 3 -0.01947180 0.01947180 5 0.03245300
0.70 3 23 38 4 68 -0.11117647 -0.03294118 0.00003909 0.01342676 -4 4 -0.05370704 0.05370704 8 0.10741408
0.72 3 22 40 3 68 -0.11529412 -0.03705882 0.00000131 0.00582323 0 0 0.00000000 0.00000000 4 0.02329293
0.74 2 24 41 4 71 -0.11633803 -0.03746479 0.00000030 0.00112007 3 3 0.00336021 0.00336021 5 0.00560035
0.76 4 26 45 5 80 -0.10850000 -0.03500000 0.00000009 0.00821644 9 9 0.07394795 0.07394795 9 0.07394795
0.78 3 24 42 4 73 -0.11315068 -0.03643836 0.00000009 0.00486803 -7 7 -0.03407623 0.03407623 7 0.03407623
0.80 2 24 41 4 71 -0.11633803 -0.03746479 0.00001059 0.00334854 -2 2 -0.00669708 0.00669708 2 0.00669708
0.82 2 22 42 4 70 -0.11600000 -0.04400000 0.00002089 0.00654395 -1 1 -0.00654395 0.00654395 3 0.01963184
0.84 3 23 43 5 74 -0.10972973 -0.04162162 0.00003286 0.00670619 4 4 0.02682476 0.02682476 4 0.02682476
0.86 3 24 39 4 70 -0.11200000 -0.03200000 0.00000373 0.00988583 -4 4 -0.03954334 0.03954334 6 0.05931501
0.88 3 24 38 4 69 -0.11159420 -0.03043478 0.00000143 0.00161697 -1 1 -0.00161697 0.00161697 1 0.00161697
0.90 4 25 41 4 74 -0.10972973 -0.03027027 0.00000207 0.00187172 5 5 0.00935858 0.00935858 5 0.00935858
0.92 4 26 43 5 78 -0.10769231 -0.03230769 0.00001070 0.00288135 4 4 0.01152540 0.01152540 4 0.01152540
0.94 6 27 43 4 80 -0.10500000 -0.02450000 0.00002538 0.00825885 2 2 0.01651770 0.01651770 4 0.03303539
0.96 5 27 40 3 75 -0.11013333 -0.02053333 0.00002409 0.00648734 -5 5 -0.03243669 0.03243669 5 0.03243669
0.98 3 25 37 2 67 -0.11910448 -0.02298507 0.00004774 0.00930013 -8 8 -0.07440106 0.07440106 8 0.07440106
1.00 3 23 37 4 67 -0.11074627 -0.03134328 0.00003770 0.01182029 0 0 0.00000000 0.00000000 4 0.04728117
1.02 2 21 36 4 63 -0.11333333 -0.03777778 0.00000135 0.00693510 -4 4 -0.02774040 0.02774040 4 0.02774040
1.04 5 24 37 3 69 -0.10753623 -0.02231884 0.00003315 0.01651015 6 6 0.09906091 0.09906091 8 0.13208122
1.06 5 24 37 2 68 -0.11117647 -0.02058824 0.00000767 0.00403067 -1 1 -0.00403067 0.00403067 1 0.00403067
1.08 4 28 37 4 73 -0.10931507 -0.01726027 0.00001475 0.00381315 5 5 0.01906577 0.01906577 7 0.02669208
1.10 5 27 39 5 76 -0.10315789 -0.02210526 0.00000569 0.00783484 3 3 0.02350452 0.02350452 5 0.03917420
1.12 5 26 38 3 72 -0.10888889 -0.01944444 0.00000609 0.00631856 -4 4 -0.02527426 0.02527426 4 0.02527426
1.14 5 30 41 4 80 -0.10850000 -0.01750000 0.00000245 0.00198295 8 8 0.01586362 0.01586362 8 0.01586362
1.16 5 29 38 3 75 -0.11013333 -0.01306667 0.00001011 0.00472464 -5 5 -0.02362320 0.02362320 5 0.02362320
1.18 4 28 38 3 73 -0.11315068 -0.01726027 0.00002097 0.00516631 -2 2 -0.01033262 0.01033262 2 0.01033262
1.20 4 25 37 4 70 -0.10800000 -0.02400000 0.00002207 0.00848254 -3 3 -0.02544762 0.02544762 5 0.04241269
1.22 4 25 37 7 73 -0.09780822 -0.02876712 0.00001151 0.01125157 3 3 0.03375471 0.03375471 3 0.03375471
1.24 5 26 39 4 74 -0.10594595 -0.02270270 0.00000755 0.01014888 1 1 0.01014888 0.01014888 7 0.07104217
1.26 4 28 39 3 74 -0.11351351 -0.01891892 0.00000604 0.00846080 0 0 0.00000000 0.00000000 4 0.03384319
1.28 4 29 41 3 77 -0.11454545 -0.02000000 0.00000585 0.00149454 3 3 0.00448361 0.00448361 3 0.00448361
1.30 6 31 45 5 87 -0.10459770 -0.02091954 0.00004407 0.00999016 10 10 0.09990163 0.09990163 10 0.09990163
1.32 4 28 44 5 81 -0.10888889 -0.02938272 0.00002088 0.00948892 -6 6 -0.05693353 0.05693353 6 0.05693353
1.34 4 28 41 4 77 -0.11090909 -0.02363636 0.00000433 0.00609112 -4 4 -0.02436449 0.02436449 4 0.02436449
1.36 4 27 39 4 74 -0.10972973 -0.02270270 0.00000403 0.00150420 -3 3 -0.00451260 0.00451260 3 0.00451260
1.38 3 26 39 2 70 -0.12000000 -0.02400000 0.00004131 0.01035188 -4 4 -0.04140752 0.04140752 4 0.04140752
1.40 4 25 40 5 74 -0.10594595 -0.03027027 0.00002659 0.01538937 4 4 0.06155748 0.06155748 6 0.09233622
1.42 4 24 41 5 74 -0.10594595 -0.03405405 0.00000867 0.00378378 0 0 0.00000000 0.00000000 2 0.00756757
1.44 2 27 41 6 76 -0.11052632 -0.03315789 0.00002176 0.00466721 2 2 0.00933443 0.00933443 6 0.02800329
1.46 5 29 44 4 82 -0.10926829 -0.02390244 0.00002742 0.00934056 6 6 0.05604337 0.05604337 10 0.09340561
1.48 4 29 42 3 78 -0.11487179 -0.02153846 0.00001761 0.00608175 -4 4 -0.02432698 0.02432698 4 0.02432698
1.50 5 25 43 6 79 -0.10101266 -0.03367089 0.00000636 0.01841932 1 1 0.01841932 0.01841932 9 0.16577389
1.52 4 25 40 5 74 -0.10594595 -0.03027027 0.00001898 0.00599179 -5 5 -0.02995894 0.02995894 5 0.02995894
1.54 2 25 39 5 71 -0.11239437 -0.03352113 0.00001001 0.00722151 -3 3 -0.02166453 0.02166453 3 0.02166453
1.56 4 26 42 4 76 -0.11052632 -0.02947368 0.00001166 0.00445774 5 5 0.02228868 0.02228868 7 0.03120415
