t f1 f2 f3 f4 Fsum x y Area del_D del_Fsum abs_delFsum (del_Fsum)(del_D) (abs_del_Fsum)(del_D) sum_abs_del_f (sum_abs_del_f)(del_D)
0.86 14 4 7 35 60 0.08866667 -0.05600000 0.00004439 0.00466667 0 0 0.00000000 0.00000000 2 0.00933333
0.88 13 0 6 33 52 0.10769231 -0.07000000 0.00001825 0.02362149 -8 8 -0.18897196 0.18897196 8 0.18897196
0.90 13 2 6 32 53 0.09773585 -0.06075472 0.00000586 0.01358699 1 1 0.01358699 0.01358699 3 0.04076097
0.92 12 2 5 32 51 0.10156863 -0.06313725 0.00000777 0.00451295 -2 2 -0.00902589 0.00902589 2 0.00902589
0.94 14 3 6 33 56 0.09500000 -0.05500000 0.00001007 0.01045762 5 5 0.05228809 0.05228809 5 0.05228809
0.96 15 3 7 35 60 0.09333333 -0.05600000 0.00001083 0.00194365 4 4 0.00777460 0.00777460 4 0.00777460
0.98 13 2 6 35 56 0.10000000 -0.06500000 0.00003012 0.01120020 -4 4 -0.04480079 0.04480079 4 0.04480079
1.00 13 1 5 36 55 0.10945455 -0.06872727 0.00003012 0.01016273 -1 1 -0.01016273 0.01016273 3 0.03048818
1.02 13 2 6 35 56 0.10000000 -0.06500000 0.00002322 0.01016273 1 1 0.01016273 0.01016273 3 0.03048818
1.04 14 3 7 33 57 0.09087719 -0.05649123 0.00006228 0.01247497 1 1 0.01247497 0.01247497 5 0.06237484
1.06 11 5 7 33 56 0.08000000 -0.06000000 0.00000085 0.01142912 -1 1 -0.01142912 0.01142912 5 0.05714561
1.08 13 4 7 34 58 0.08689655 -0.05793103 0.00001034 0.00720021 2 2 0.01440042 0.01440042 4 0.02880085
1.10 13 3 7 33 56 0.09000000 -0.06000000 0.00000683 0.00372988 -2 2 -0.00745976 0.00745976 2 0.00745976
1.12 13 2 6 32 53 0.09773585 -0.06075472 0.00000865 0.00777258 -3 3 -0.02331773 0.02331773 3 0.02331773
1.14 14 3 7 34 58 0.09172414 -0.05793103 0.00001233 0.00664183 5 5 0.03320913 0.03320913 5 0.03320913
1.16 15 4 7 35 61 0.08950820 -0.05278689 0.00003183 0.00560113 3 3 0.01680339 0.01680339 3 0.01680339
1.18 14 2 5 34 55 0.10436364 -0.05854545 0.00003781 0.01593252 -6 6 -0.09559512 0.09559512 6 0.09559512
1.20 13 2 5 35 55 0.10436364 -0.06363636 0.00000342 0.00509091 0 0 0.00000000 0.00000000 2 0.01018182
1.22 12 1 6 34 53 0.10301887 -0.07132075 0.00005125 0.00780117 -2 2 -0.01560234 0.01560234 4 0.03120468
1.24 13 3 6 31 53 0.09245283 -0.05547170 0.00002610 0.01904820 0 0 0.00000000 0.00000000 6 0.11428917
1.26 14 3 6 31 54 0.09333333 -0.05185185 0.00000473 0.00372540 1 1 0.00372540 0.00372540 1 0.00372540
1.28 12 4 6 33 55 0.08909091 -0.05854545 0.00003890 0.00792480 1 1 0.00792480 0.00792480 5 0.03962401
1.30 13 2 7 35 57 0.09578947 -0.06631579 0.00003137 0.01025909 2 2 0.02051817 0.02051817 6 0.06155452
1.32 12 1 8 34 55 0.09418182 -0.07381818 0.00000849 0.00767271 -2 2 -0.01534542 0.01534542 4 0.03069083
1.34 11 2 7 33 53 0.09245283 -0.07132075 0.00000464 0.00303752 -2 2 -0.00607504 0.00607504 4 0.01215009
1.36 13 4 7 34 58 0.08689655 -0.05793103 0.00007518 0.01449679 5 5 0.07248394 0.07248394 5 0.07248394
1.38 17 5 6 39 67 0.09402985 -0.04805970 0.00013428 0.01217896 9 9 0.10961068 0.10961068 11 0.13396861
1.40 15 1 6 39 61 0.10786885 -0.06655738 0.00003674 0.02310156 -6 6 -0.13860935 0.13860935 6 0.13860935
1.42 15 1 7 36 59 0.10203390 -0.06406780 0.00001770 0.00634387 -2 2 -0.01268774 0.01268774 4 0.02537548
