t f1 f2 f3 f4 Fsum x y Area del_D del_Fsum abs_delFsum (del_Fsum)(del_D) (abs_del_Fsum)(del_D) sum_abs_del_f (sum_abs_del_f)(del_D)
0.02 10 11 29 19 69 -0.02231884 -0.05478261N.A. N.A. N.A. N.A. N.A. N.A. N.A. N.A. N.A.
0.04 10 10 33 20 73 -0.02493151 -0.06328767 0.00002092 0.00889731 4 4 0.03558924 0.03558924 6 0.05338386
0.06 10 11 35 24 80 -0.02100000 -0.06650000 0.00001946 0.00507699 7 7 0.03553891 0.03553891 7 0.03553891
0.08 10 14 32 23 79 -0.02303797 -0.05493671 0.00000954 0.01174151 -1 1 -0.01174151 0.01174151 7 0.08219057
0.10 11 13 34 22 80 -0.02450000 -0.05600000 0.00000229 0.00180779 1 1 0.00180779 0.00180779 5 0.00903895
0.12 10 11 32 20 73 -0.02493151 -0.05945205 0.00001688 0.00347892 -7 7 -0.02435244 0.02435244 7 0.02435244
0.14 9 8 30 21 68 -0.01647059 -0.07000000 0.00004416 0.01352207 -5 5 -0.06761033 0.06761033 7 0.09465447
0.16 8 10 32 21 71 -0.02563380 -0.06901408 0.00000733 0.00921610 3 3 0.02764831 0.02764831 5 0.04608051
0.18 8 8 28 18 62 -0.02258065 -0.06774194 0.00001666 0.00330759 -9 9 -0.02976829 0.02976829 9 0.02976829
0.20 8 10 27 17 62 -0.02709677 -0.05870968 0.00004143 0.01009837 0 0 0.00000000 0.00000000 4 0.04039349
0.22 8 10 30 16 64 -0.03500000 -0.06125000 0.00001368 0.00830146 2 2 0.01660292 0.01660292 4 0.03320583
0.24 8 10 29 18 65 -0.02800000 -0.06246154 0.00001005 0.00710407 1 1 0.00710407 0.00710407 3 0.02131221
0.26 9 11 34 21 75 -0.02800000 -0.06533333 0.00000388 0.00287179 10 10 0.02871795 0.02871795 10 0.02871795
0.28 12 13 36 22 83 -0.02530120 -0.05566265 0.00002909 0.01004020 8 8 0.08032159 0.08032159 8 0.08032159
0.30 11 14 34 20 79 -0.03012658 -0.05139241 0.00000590 0.00644354 -4 4 -0.02577418 0.02577418 6 0.03866127
0.32 10 13 33 21 77 -0.02727273 -0.05636364 0.00002066 0.00573216 -2 2 -0.01146431 0.01146431 4 0.02292863
0.34 10 11 28 19 68 -0.02058824 -0.05352941 0.00001616 0.00726053 -9 9 -0.06534475 0.06534475 9 0.06534475
0.36 9 9 28 17 63 -0.02444444 -0.06000000 0.00001759 0.00753252 -5 5 -0.03766260 0.03766260 5 0.03766260
0.38 8 10 29 17 64 -0.03062500 -0.06125000 0.00003232 0.00630569 1 1 0.00630569 0.00630569 3 0.01891708
0.40 12 12 31 19 74 -0.02270270 -0.04918919 0.00002374 0.01443004 10 10 0.14430036 0.14430036 10 0.14430036
0.42 12 13 32 19 76 -0.02578947 -0.04789474 0.00001307 0.00334720 2 2 0.00669440 0.00669440 2 0.00669440
0.44 9 11 29 15 64 -0.03500000 -0.05250000 0.00007327 0.01029768 -12 12 -0.12357218 0.12357218 12 0.12357218
0.46 9 9 30 18 66 -0.02545455 -0.06363636 0.00001638 0.01466746 2 2 0.02933491 0.02933491 6 0.08800474
0.48 9 12 31 16 68 -0.03705882 -0.05352941 0.00003573 0.01538862 2 2 0.03077725 0.03077725 6 0.09233174
0.50 11 13 34 19 77 -0.03090909 -0.05272727 0.00000379 0.00620183 9 9 0.05581643 0.05581643 9 0.05581643
0.52 11 14 34 20 79 -0.03012658 -0.05139241 0.00000226 0.00154732 2 2 0.00309463 0.00309463 2 0.00309463
0.54 10 13 36 21 80 -0.03150000 -0.05950000 0.00001368 0.00822310 1 1 0.00822310 0.00822310 5 0.04111550
0.56 9 11 33 20 73 -0.02876712 -0.06328767 0.00000292 0.00467066 -7 7 -0.03269462 0.03269462 7 0.03269462
0.58 9 11 31 18 69 -0.03043478 -0.05884058 0.00000581 0.00474950 -4 4 -0.01899798 0.01899798 4 0.01899798
0.60 9 12 30 16 67 -0.03552239 -0.05223881 0.00002473 0.00833470 -2 2 -0.01666939 0.01666939 4 0.03333878
0.62 10 11 31 20 72 -0.02333333 -0.05833333 0.00006274 0.01362778 5 5 0.06813889 0.06813889 7 0.09539444
0.64 8 11 32 17 68 -0.03705882 -0.06176471 0.00000870 0.01414791 -4 4 -0.05659165 0.05659165 6 0.08488747
0.66 9 11 31 18 69 -0.03043478 -0.05884058 0.00001385 0.00724075 1 1 0.00724075 0.00724075 3 0.02172224
0.68 10 12 33 18 73 -0.03260274 -0.05561644 0.00000748 0.00388524 4 4 0.01554098 0.01554098 4 0.01554098
0.70 11 14 33 18 76 -0.03315789 -0.04789474 0.00000785 0.00774163 3 3 0.02322490 0.02322490 3 0.02322490
0.72 10 13 32 17 72 -0.03500000 -0.05055556 0.00000164 0.00323625 -4 4 -0.01294500 0.01294500 4 0.01294500
0.74 9 12 33 16 70 -0.04000000 -0.05600000 0.00000986 0.00739202 -2 2 -0.01478404 0.01478404 4 0.02956808
0.76 9 12 33 17 71 -0.03746479 -0.05718310 0.00000986 0.00279768 1 1 0.00279768 0.00279768 1 0.00279768
0.78 9 12 33 16 70 -0.04000000 -0.05600000 0.00001183 0.00279768 -1 1 -0.00279768 0.00279768 1 0.00279768
0.80 12 14 36 18 80 -0.03500000 -0.04900000 0.00002593 0.00860233 10 10 0.08602325 0.08602325 10 0.08602325
0.82 10 16 37 18 81 -0.04320988 -0.05012346 0.00006680 0.00828639 1 1 0.00828639 0.00828639 5 0.04143194
0.84 9 10 34 18 71 -0.03352113 -0.06507042 0.00003359 0.01781246 -10 10 -0.17812458 0.17812458 10 0.17812458
0.86 9 10 32 18 69 -0.03043478 -0.06289855 0.00001245 0.00377393 -2 2 -0.00754786 0.00754786 2 0.00754786
0.88 8 10 30 15 63 -0.03777778 -0.06000000 0.00004105 0.00789438 -6 6 -0.04736626 0.04736626 6 0.04736626
0.90 9 13 30 15 67 -0.03970149 -0.04805970 0.00000232 0.01209427 4 4 0.04837709 0.04837709 4 0.04837709
0.92 8 12 29 15 64 -0.03937500 -0.05250000 0.00000205 0.00445229 -3 3 -0.01335686 0.01335686 3 0.01335686
0.94 8 11 32 16 67 -0.03970149 -0.06059701 0.00004952 0.00810359 3 3 0.02431078 0.02431078 5 0.04051797
